"b" , "c" , "year" , "r" , "b_err"
"1" , 10000 , 4544.93440004893 , 1 , 0.2 , 12335.2334183989
"2" , 4423.4699622128 , 5576.5300377872 , 2 , 0.2 , 15135.0478634141
"3" , 3643.39693587522 , 1445.89841349444 , 3 , 0.2 , 3924.25783517459
"4" , 2928.87676383552 , 1380.71864228511 , 4 , 0.2 , 3747.35589968873
"5" , 2447.19910419116 , 1119.46880972757 , 5 , 0.2 , 3038.3076755647
"6" , 2340.45517034836 , 707.214051465217 , 6 , 0.2 , 1919.42273171227
"7" , 2158.16678870314 , 772.250495820532 , 7 , 0.2 , 2095.93566924046
"8" , 2115.93015098305 , 612.215076132087 , 8 , 0.2 , 1661.58962960408
"9" , 1638.22892256939 , 1042.66782525154 , 9 , 0.2 , 2829.86504759973
"10" , 1659.20477956131 , 476.34800405247 , 10 , 0.2 , 1292.83798206468
"11" , 1749.11533168543 , 410.837040788222 , 11 , 0.2 , 1115.03717083186
"12" , 1814.77233983988 , 449.268003406818 , 12 , 0.2 , 1219.34118331421
"13" , 1557.10439003367 , 782.449583117214 , 13 , 0.2 , 2123.61662376817
"14" , 1305.47444488995 , 735.28568317254 , 14 , 0.2 , 1995.61087857341
"15" , 1253.63340853491 , 488.511005166814 , 15 , 0.2 , 1325.84912031391
"16" , 939.789953998521 , 739.906996557385 , 16 , 0.2 , 2008.15340928651
"17" , 1195.14083412136 , 98.790678196763 , 17 , 0.2 , 268.124018490978
"18" , 1298.02285879459 , 310.805738650054 , 18 , 0.2 , 843.546022135109
"19" , 1386.06720669017 , 347.121546480735 , 19 , 0.2 , 942.109373536692
"20" , 1344.21424631547 , 494.362508102366 , 20 , 0.2 , 1341.73046165026
"21" , 1317.2791267107 , 471.315793211286 , 21 , 0.2 , 1279.18025020921
"22" , 1471.4037512671 , 284.914181136094 , 22 , 0.2 , 773.274731641421
"23" , 1259.27011009612 , 680.589821907851 , 23 , 0.2 , 1847.16292392019
"24" , 1705.73473045316 , -19.2315767373307 , 24 , 0.2 , -52.1956902296038
"25" , 1504.45229631534 , 709.466790770149 , 25 , 0.2 , 1925.53680569249
"26" , 1723.08757659446 , 255.776978889625 , 26 , 0.2 , 694.194560348867
"27" , 1154.12734129194 , 1079.86304680775 , 27 , 0.2 , 2930.81518231234
"28" , 1255.89350262342 , 302.977077781231 , 28 , 0.2 , 822.298551727313
"29" , 1247.00894324149 , 435.417506645932 , 29 , 0.2 , 1181.75007737779
"30" , 1318.87179491901 , 352.821114167729 , 30 , 0.2 , 957.578353199474
"31" , 1328.98357708811 , 429.245324464577 , 31 , 0.2 , 1164.99839270946
"32" , 1284.77078876773 , 485.583605093732 , 32 , 0.2 , 1317.90397522884
"33" , 1254.85556953436 , 462.389352096584 , 33 , 0.2 , 1254.95333623125
"34" , 1238.84705675594 , 442.325968923007 , 34 , 0.2 , 1200.50007182194
"35" , 1409.61220804891 , 252.211402218189 , 35 , 0.2 , 684.517364455151
"36" , 1404.31748324853 , 462.287179351355 , 36 , 0.2 , 1254.67603307339
"37" , 1289.39855846371 , 570.908867345468 , 37 , 0.2 , 1549.48202096476
"38" , 1176.75826240196 , 546.056885696401 , 38 , 0.2 , 1482.03220374678
"39" , 1177.72810844074 , 408.736591341324 , 39 , 0.2 , 1109.33642095729
"40" , 806.975948785032 , 780.6697654471 , 40 , 0.2 , 2118.78608839173
"41" , 572.179711763427 , 553.982391780488 , 41 , 0.2 , 1503.54251806619
"42" , 452.819549974522 , 368.66150842937 , 42 , 0.2 , 1000.57016418242
"43" , 510.606157405486 , 151.189993246458 , 43 , 0.2 , 410.339004497211
"44" , 422.459538313654 , 317.106990813367 , 44 , 0.2 , 860.648010727467
"45" , 385.543208277241 , 235.017566557646 , 45 , 0.2 , 637.852229700267
"46" , 447.355616346172 , 122.688396376694 , 46 , 0.2 , 332.98390555852
"47" , 448.167048305143 , 206.227749322967 , 47 , 0.2 , 559.714882842416
"48" , 466.903234984562 , 188.591256766094 , 48 , 0.2 , 511.848349858234
"49" , 374.748332966496 , 306.086250420928 , 49 , 0.2 , 830.737038814902
"50" , 550.79471477951 , 4.39530684979579 , 50 , 0.2 , 11.9291349809438
"51" , 439.981921647442 , 353.155418008408 , 51 , 0.2 , 958.485674525697
"52" , 589.321417564061 , 55.0714403196144 , 52 , 0.2 , 149.467299466974
"53" , 712.330328173779 , 131.79205889698 , 53 , 0.2 , 357.69180940612
"54" , 811.175493676119 , 193.515690609128 , 54 , 0.2 , 525.213568266365
"55" , 837.981477535542 , 293.531952527554 , 55 , 0.2 , 796.663896875336
"56" , 702.776767351452 , 462.820694674606 , 56 , 0.2 , 1256.12402669999
"57" , 854.266680396494 , 138.06729024612 , 57 , 0.2 , 374.723175897407
"58" , 831.43061941129 , 354.812199749447 , 58 , 0.2 , 962.982282771316
"59" , 948.96672529669 , 208.312963228953 , 59 , 0.2 , 565.374282515455
"60" , 1175.25832761374 , 130.157623414106 , 60 , 0.2 , 353.25585028901
"61" , 1088.26806082367 , 496.369871168673 , 61 , 0.2 , 1347.1785693233
"62" , 1463.11598184385 , 15.0541839602597 , 62 , 0.2 , 40.8579875369203
"63" , 1877.2137197048 , 52.8458438345151 , 63 , 0.2 , 143.42689278067
"64" , 1919.45446117146 , 491.538581700131 , 64 , 0.2 , 1334.06615051574
"65" , 1320.7110213594 , 1138.40668572493 , 65 , 0.2 , 3089.70624379787
"66" , 1508.39656634139 , 252.038755243538 , 66 , 0.2 , 684.048789874343
"67" , 1159.32613964511 , 824.185520754159 , 67 , 0.2 , 2236.89054311933
"68" , 1159.41165909513 , 405.803949973612 , 68 , 0.2 , 1101.37705067401
"69" , 1019.91439930747 , 545.405554091696 , 69 , 0.2 , 1480.26444943624
"70" , 1140.14248306711 , 253.620938052089 , 70 , 0.2 , 688.342931997459
"71" , 955.392521856118 , 586.391671730268 , 71 , 0.2 , 1591.50331087729
"72" , 1327.06912986832 , -13.6194200587455 , 72 , 0.2 , -36.9639494567931
"73" , 1292.0794243272 , 475.980218566216 , 73 , 0.2 , 1291.83978947894
"74" , 1277.99229793587 , 448.048469966016 , 74 , 0.2 , 1216.03129403315
"75" , 1170.06045003964 , 539.020731467161 , 75 , 0.2 , 1462.93564543681
"76" , 1257.96951676284 , 320.335611341545 , 76 , 0.2 , 869.410686781511
"77" , 1080.39209790389 , 604.540971264273 , 77 , 0.2 , 1640.76163375429
"78" , 955.742210573969 , 512.736649425409 , 78 , 0.2 , 1391.59901906661
"79" , 547.682967687007 , 766.203748982525 , 79 , 0.2 , 2079.52442386187
"80" , 532.878218398481 , 256.125585724016 , 80 , 0.2 , 695.140700885772
"81" , 515.437778660119 , 253.867219414971 , 81 , 0.2 , 689.011354867924
"82" , 546.790777063367 , 199.237881132908 , 82 , 0.2 , 540.743947709163
"83" , 622.894998018493 , 164.92321406349 , 83 , 0.2 , 447.611816259397
"84" , 742.63055314003 , 145.641525276524 , 84 , 0.2 , 395.280118823767
"85" , 861.070634402096 , 182.693859583031 , 85 , 0.2 , 495.842448692024
"86" , 810.952639124302 , 383.902273125411 , 86 , 0.2 , 1041.93454339074
"87" , 912.200348331002 , 219.029185769013 , 87 , 0.2 , 594.458774118617
"88" , 974.938624246979 , 284.384227103842 , 88 , 0.2 , 771.836403579131
"89" , 1279.12382812257 , 58.7233909220868 , 89 , 0.2 , 159.378919558449
"90" , 1213.57197139795 , 496.872376227134 , 90 , 0.2 , 1348.54239917087
"91" , 1358.60737245767 , 272.599659930471 , 91 , 0.2 , 739.852358481195
"92" , 1273.17389383569 , 532.633010564283 , 92 , 0.2 , 1445.59897533047
"93" , 1439.00691915756 , 264.267695808059 , 93 , 0.2 , 717.238891874818
"94" , 1512.29204219038 , 389.214576334987 , 94 , 0.2 , 1056.35246327947
"95" , 1474.88690752501 , 513.212704596421 , 95 , 0.2 , 1392.89106228167
"96" , 1418.63288792449 , 525.343629273085 , 96 , 0.2 , 1425.81514309261
"97" , 1453.58099776392 , 423.744911194517 , 97 , 0.2 , 1150.06993046738
"98" , 1188.35636084367 , 730.418498779863 , 98 , 0.2 , 1982.40103871886
"99" , 747.073296917386 , 853.506630652579 , 99 , 0.2 , 2316.46985116823
"100" , 720.524613400418 , 328.95400189576 , 100 , 0.2 , 892.801532461489
